country,tahun,provinsi,kota_kabupaten,stunting,life_expectancy,hdi,level
Indonesia,2019,Papua Tengah,,,-,-,provinsi
Indonesia,2020,Papua Tengah,,,-,-,provinsi
Indonesia,2021,Papua Tengah,,,-,-,provinsi
Indonesia,2022,Papua Tengah,,,-,58.25,provinsi
Indonesia,2023,Papua Tengah,,"39,4",-,58.93,provinsi
Indonesia,2024,Papua Tengah,,,66.99,59.75,provinsi
Indonesia,2013,Riau,,,70.67,69.91,provinsi
Indonesia,2014,Riau,,,70.76,70.33,provinsi
Indonesia,2015,Riau,,,70.93,70.84,provinsi
Indonesia,2016,Riau,,,70.97,71.2,provinsi
Indonesia,2017,Riau,,,70.99,71.79,provinsi
Indonesia,2018,Riau,,,71.19,72.44,provinsi
Indonesia,2019,Riau,,"23,95",71.48,73,provinsi
Indonesia,2020,Riau,,"22,43",71.6,72.71,provinsi
Indonesia,2021,Riau,,"22,3",71.67,72.94,provinsi
Indonesia,2022,Riau,,17,71.95,73.52,provinsi
Indonesia,2023,Riau,,"13,6",72.24,74.04,provinsi
Indonesia,2024,Riau,,"20,1",72.52,74.79,provinsi
Indonesia,2013,Sulawesi Barat,,,63.32,61.53,provinsi
Indonesia,2014,Sulawesi Barat,,,64.04,62.24,provinsi
Indonesia,2015,Sulawesi Barat,,,64.22,62.96,provinsi
Indonesia,2016,Sulawesi Barat,,,64.31,63.6,provinsi
Indonesia,2017,Sulawesi Barat,,,64.34,64.3,provinsi
Indonesia,2018,Sulawesi Barat,,,64.58,65.1,provinsi
Indonesia,2019,Sulawesi Barat,,"40,38",64.82,65.73,provinsi
Indonesia,2020,Sulawesi Barat,,"40,44",65.06,66.11,provinsi
Indonesia,2021,Sulawesi Barat,,"33,8",65.25,66.36,provinsi
Indonesia,2022,Sulawesi Barat,,35,65.63,66.92,provinsi
Indonesia,2023,Sulawesi Barat,,"30,3",66.01,67.55,provinsi
Indonesia,2024,Sulawesi Barat,,"35,4",66.27,68.2,provinsi
Indonesia,2013,Sulawesi Selatan,,,69.5,67.92,provinsi
Indonesia,2014,Sulawesi Selatan,,,69.59,68.49,provinsi
Indonesia,2015,Sulawesi Selatan,,,69.8,69.15,provinsi
Indonesia,2016,Sulawesi Selatan,,,69.82,69.76,provinsi
Indonesia,2017,Sulawesi Selatan,,,69.84,70.34,provinsi
Indonesia,2018,Sulawesi Selatan,,,70.08,70.9,provinsi
Indonesia,2019,Sulawesi Selatan,,"30,59",70.43,71.66,provinsi
Indonesia,2020,Sulawesi Selatan,,"29,28",70.57,71.93,provinsi
Indonesia,2021,Sulawesi Selatan,,"27,4",70.66,72.24,provinsi
Indonesia,2022,Sulawesi Selatan,,"27,2",70.97,72.82,provinsi
Indonesia,2023,Sulawesi Selatan,,"27,4",71.22,73.46,provinsi
Indonesia,2024,Sulawesi Selatan,,"23,3",71.43,74.05,provinsi
Indonesia,2013,Sulawesi Tengah,,,67.02,65.79,provinsi
Indonesia,2014,Sulawesi Tengah,,,67.18,66.43,provinsi
